"feature","id","fc","pval","qval","logFC"
"gene","MSTRG.16726",1.19388321931515,0.00294189451255922,0.00950621032586235,0.255661725082956
"gene","MSTRG.34862",0.742208600131049,0.00294762247431435,0.00952208444122904,-0.430103376936629
"gene","MSTRG.34005",1.2607373356654,0.00295039302694877,0.00952839871922228,0.33426773323536
"gene","MSTRG.187",1.80169066102828,0.00295271856411228,0.00953327270989858,0.849351330735161
"gene","MSTRG.39158",0.656959078554938,0.00295570472016182,0.00954027631897451,-0.606124585838247
"gene","MSTRG.39362",0.716870069398342,0.0029577312107788,0.00954417935326744,-0.480216436519525
"gene","MSTRG.35612",0.675381781186199,0.00296257765727426,0.00955717731537259,-0.566224832549426
"gene","MSTRG.28848",0.661676389808167,0.00296786201800181,0.00957158040492271,-0.595802293214447
"gene","MSTRG.25903",1.82756468392938,0.00297570505890454,0.0095942252009628,0.869922469123091
"gene","MSTRG.3306",0.671700165028805,0.00297942958683484,0.009603582311636,-0.574110711522502
"gene","MSTRG.11336",1.44798326068717,0.00298262498720359,0.00961122919441597,0.534044924338799
"gene","MSTRG.15609",0.82958416774952,0.00299517423360263,0.00964900543448592,-0.269539733676447
"gene","MSTRG.17182",0.811173064191703,0.00300058281021132,0.00966376339151896,-0.301918347874314
"gene","MSTRG.13768",1.25504845602884,0.00300397883016923,0.0096720332998942,0.327743066106699
"gene","MSTRG.11593",0.679600308919506,0.00300552559141054,0.00967434615669578,-0.557241586572796
"gene","MSTRG.8847",1.15220050735914,0.00301690913406238,0.00970831217073037,0.204391798205208
"gene","MSTRG.26723",0.602780775534636,0.00302056785970883,0.00971740811726715,-0.730294689038414
"gene","MSTRG.17328",0.851702862571352,0.00302383684561591,0.00972524557507646,-0.231577896201056
"gene","MSTRG.13302",0.664290219977212,0.00303767990853665,0.00976707763543254,-0.590114420413894
"gene","MSTRG.30370",1.31076142935104,0.00304145834989877,0.00977653471239138,0.390405125672068
"gene","MSTRG.34503",0.666125271288529,0.00304810557321389,0.00979520552669009,-0.586134579344858
"gene","MSTRG.34021",1.34553858657072,0.00305405129423852,0.00981161238352613,0.428183764338422
"gene","MSTRG.14469",0.818403798167266,0.00305836096245982,0.00982275558845042,-0.289115254319805
"gene","MSTRG.31745",0.815361007553752,0.00306096935750577,0.00982843006790003,-0.294489129419642
"gene","MSTRG.20102",0.814526581870675,0.00307950926421086,0.00988485440538981,-0.29596631337754
"gene","MSTRG.22748",0.772194447578221,0.00308027777141673,0.00988485440538981,-0.372963914189778
"gene","MSTRG.6202",0.801006375536429,0.00308108152385844,0.00988485440538981,-0.320114369209452
"gene","MSTRG.3308",2.29457191922677,0.00308326182966812,0.00988868606578491,1.19822502613817
"gene","MSTRG.10934",0.567159991810316,0.00308404469316059,0.00988868606578491,-0.81817232827011
"gene","MSTRG.16820",0.83264961658402,0.00308481617893941,0.00988868606578491,-0.264218565394412
"gene","MSTRG.7475",0.493922097409066,0.00308644485577925,0.00989119182925084,-1.01764458049509
"gene","MSTRG.14557",1.2499469030243,0.00308846034776067,0.00989421140880887,0.321866811390946
"gene","MSTRG.16407",1.16616756369944,0.003089081589015,0.00989421140880887,0.221775100673606
"gene","MSTRG.17838",1.59735016936665,0.00309246304643285,0.00990232614648829,0.675680613457568
"gene","MSTRG.1128",0.805440353658777,0.00309443567125522,0.00990592647174301,-0.31215033980636
"gene","MSTRG.32902",1.29028147259898,0.00311366710108318,0.00996475867537666,0.367685821328185
"gene","MSTRG.27567",1.16613919328319,0.00311761878695926,0.00997467183400282,0.22174000249562
"gene","MSTRG.19495",3.39537345247312,0.00314169159754507,0.0100489385034597,1.76357026324767
"gene","MSTRG.7510",0.470129536834965,0.00314612930927305,0.01006037734767,-1.08886977128682
"gene","MSTRG.14220",0.658063688326829,0.00314804521474832,0.0100605498992252,-0.603700878120067
"gene","MSTRG.39019",2.03710302649521,0.00314856957184073,0.0100605498992252,1.02651894645747
"gene","MSTRG.39162",1.75111346559284,0.00314876775832063,0.0100605498992252,0.808272568034484
"gene","MSTRG.36937",1.30042071525288,0.00315372188809193,0.0100736225954971,0.378978442957707
"gene","MSTRG.22592",1.51416216544563,0.00315543425272402,0.0100763361234102,0.598519724977253
