"","gene_id","gene_name"
"12062","MSTRG.1548","ADGRL4"
"12257","MSTRG.1575","PRKACB"
"12281","MSTRG.1578","."
"12298","MSTRG.1578","SAMD13"
"12318","MSTRG.1582","RPF1"
"12321","MSTRG.1583","GNG5"
"12325","MSTRG.1583","."
"12347","MSTRG.1586","SSX2IP"
"12366","MSTRG.1588","."
"12372","MSTRG.1588","MCOLN2"
"12403","MSTRG.1597","BCL10"
"12404","MSTRG.1597","."
"12413","MSTRG.1599","DDAH1"
"12424","MSTRG.1603","."
"12425","MSTRG.1603","CCN1"
"12434","MSTRG.1604","ZNHIT6"
"12492","MSTRG.1611","CLCA1"
"12494","MSTRG.1612","CLCA4"
"12504","MSTRG.1616","."
"12505","MSTRG.1616","SH3GLB1"
"12513","MSTRG.1617","SELENOF"
"12521","MSTRG.1618","HS2ST1"
"12533","MSTRG.1618","LINC01140"
"12547","MSTRG.1622","LMO4"
"12574","MSTRG.1631","PKN2"
"12577","MSTRG.1631","."
"12583","MSTRG.1633","GTF2B"
"12594","MSTRG.1634","KYAT3"
"12595","MSTRG.1634","."
"12604","MSTRG.1636","."
"12605","MSTRG.1636","GBP3"
